1.168770233	0.307345695	0.01
1.073889558	0.334500412	0.01
0.89804125	0.4	0.01
0.750987921	0.47832527	0.01
0.628014423	0.571987659	0.01
0.525177709	0.683990379	0.01
0.439180401	0.817924706	0.01
0.367265063	0.978085139	0.01
0.307125787	1.169607095	0.01
0.256834256	1.398631574	0.01
0.214777912	1.672502062	0.01
0.17960825	2	0.01
0.184545701	1.946490751	0.01
0.235294943	1.526664769	0.01
0.257173195	1.396788262	0.01
0.3	1.197388333	0.01
0.349958712	1.026453944	0.01
0.408237	0.879921467	0.01
0.476220316	0.754307383	0.01
0.555524827	0.646625465	0.01
0.648035843	0.554315789	0.01
0.75595263	0.475183875	0.01
0.881840695	0.407348518	0.01
1.028692779	0.349197066	0.01
1.2	0.299347083	0.01
1.2	0.013014661	0.230007594
1.2	0.01693814	0.17672961
1.2	0.022044415	0.135792712
1.2	0.028690058	0.104338264
1.2	0.037339138	0.08016979
1.2	0.048595621	0.0615996
1.2	0.063245553	0.04733093
1.2	0.082311943	0.036367394
1.2	0.107126202	0.027943405
1.2	0.139421119	0.021470713
1.2	0.181451859	0.016497328
1.2	0.236153441	0.012675957
1.028692779	0.01	0.349197038
1.2	0.01	0.299347059
0.01	1.169607095	0.307125787
0.01	1.398631574	0.256834256
0.01	1.672502062	0.214777912
0.01	2	0.17960825
0.012749955	2	0.14086971
0.016256136	2	0.110486435
